CIUDAD;NOMBRE OFICINA;DIRECCIÓN;INDICATIVO;Tel 1;Tel 2;Tel 3;Tel 4;Tel 5;HORARIO LUNES A VIERNES  Y FIN DE MES;HORARIO ADICIONAL LUNES A VIERNES;SÁBADO;zipcode;lat;lon;Num_Eventos
BUCARAMANGA;CARRERA 27;CARRERA 27 No. 19-10;7;6855021;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;680002;7,1304052;-73,1198771;0
BUCARAMANGA;DANN;CARRERA 29 No. 45-86;7;6855022;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m  a  7:00 p.m;9:00 a.m a 1:00 p.m;680003;7,1178859;-73,1125597;0
BUCARAMANGA;EXT. DE CAJA GOBERNACIÓN DE SANTANDER;CALLE 37 No. 10-30;7;6855041;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;680006;7,1165575;-73,1299663;1
BUCARAMANGA;LA TRIADA;CALLE 34 Nº 19-46 OFICINA 109;7;6855023;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;680006;7,1206465;-73,1232921;1
BUCARAMANGA;PARQUE SANTANDER;CARRERA 19 No. 36-03;7;6855024;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m  a  7:00 p.m;9:00 a.m a 1:00 p.m;NA;7,1191793;-73,1231094;1
BUCARAMANGA;REAL DE MINAS;AVENIDA LOS SAMANES No. 9-65;7;6855025;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;680005;7,104526;-73,122915;2
BUCARAMANGA;PROVENZA;CARRERA 27 No. 105 – 34 Local 22;7;6855016;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;680006;7,1165654;-73,1191877;0
BUCARAMANGA;CENTROABASTOS BUCARAMANGA;Vía al Palenque - Café Madrid No. 44 - 96 bodega numero 1 local 3-42.;7;6855012;NA;NA;NA;NA;Lunes a viernes de 7:00 - 3:00 p.m.;NA;7:00 a.m. - 11 a.m.;NA;7,1030929;-73,1658802;0
BUCARAMANGA;BANCA PERSONAL BUCARAMANGA;Calle 44 No. 28-63/73;7;6855026;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,1131961;-73,1296228;0
BUENAVENTURA;BUENAVENTURA;CALLE 1 No. 3-89;2;2423850;2417139;2433814;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,8879797;-77,0777809;0
BUENAVENTURA;CENTRO COMERCIAL VIVA BUENAVENTURA;CALLE 2 NO. 66 – 84 LOCAL 110;2;2425197;2428321;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,8830471;-77,0197212;0
BUENAVENTURA;EXT. DE CAJA BAHÍA MALAGA;BASE NAVAL MALAGA;2;2460627;NA;NA;NA;NA;8:00 a.m a 2:00 p.m;NA;NA;NA;3,97;-77,32;0
BUENAVENTURA;PACIFIC CENTER;CARRERA 7 NO 3-06 ED. PACIFIC TRADE CENTER LOCAL 105;2;2419350;2411768;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;764501;3,889987;-77,0770097;0
BUGA;BUGA;CALLE 7 No. 12-49;2;2282932;2281808;2276132;2273146;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,8996491;-76,3001415;0
CAJICA;CAJICÁ;CARRERA 6 No. 4-105 VIA PRINCIPAL CAJICA;1;8661331;8661364;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,9195381;-74,0257716;0
CALARCA;CALARCA;CALLE 39 No. 24-39;6;7422681;7423200;7421271;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,5302625;-75,6407767;0
CALI;ACOPI;AVENIDA 4 NORTE No. 64 N - 74;2;6440210;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;760050;3,4806609;-76,5218056;7
CALI;AGENCIA ZONA FRANCA DEL PACÍFICO;KILOMETRO 6 VÍA YUMBO AEROPUERTO;2;6440066;NA;NA;NA;NA;8:00 a.m a 12:00m - 1:00 p.m a  3:00 p.m Viernes hasta las 3:30 p.m;NA;NA;NA;3,5617423;-76,4485164;0
CALI;AVENIDA DE LAS AMERICAS;AVENIDA DE LAS AMERICAS No. 23N-07;2;6440211;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4642043;-76,5249476;0
CALI;AVENIDA ROOSEVELT;AVENIDA ROOSVELT No. 27-50 (CLLE 6);2;6440212;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;760042;3,4329112;-76,5388907;7
CALI;AVENIDA TERCERA NORTE;CALLE 47C NORTE No. 3N-09;2;6440238;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;760050;3,4833063;-76,5182705;7
CALI;BBVA CENTRO COMERCIAL CENTRO SUR;CALLE 9 No. 32A-16 CENTRO COMERCIAL CENTRO SUR LOCAL 2-12;2;6440236;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4270576;-76,5376352;0
CALI;BANCA PERSONAL CALI;AVENIDA 6a No. 25AN-31;2;6440024;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4673343;-76,5297594;0
CALI;CALI;CARRERA 5 No.13- 83;2;6440231;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4525911;-76,530443;6
CALI;Agencia CALLE 34;CALLE 34 No. 4C-36;2;6440213;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;760003;3,459014;-76,5134832;0
CALI;CALLE NOVENA;CALLE 9 No. 46-69 LOCAL 109;2;6440214;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4148355;-76,5403576;0
CALI;CARRERA PRIMERA;CARRERA 1 No. 41-13;2;6440215;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4686189;-76,5117615;2
CALI;CENTENARIO;AVENIDA. 4 NORTE No. 6N-67 LOC- 102;2;6440216;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;760046;3,4539402;-76,5378707;0
CALI;CENTRO COMERCIAL CALIMA;CENTRO COMERCIAL LA 14 DE CALIMA LOCAL 111-112;2;6440217;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;760002;3,4858408;-76,497899;0
CALI;CENTRO COMERCIAL CHIPICHAPE;CENTRO COMERCIAL CHIPICHAPE LOC- 107;2;6440218;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;09:00 a.m a 1:00 p.m;760001;3,4759519;-76,5278169;0
CALI;BBVA CENTRO COMERCIAL UNICO - CALI;Calle 53 No. 3-30 Local BC-4;2;6440237;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;760011;3,44554;-76,498548;0
CALI;CIUDAD JARDIN;CALLE 18 No. 106 - 69;2;6440241;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,3616865;-76,5312624;0
CALI;COMERCIAL NORTE;CALLE 23D NORTE No. 5-09;2;6440220;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;760046;3,4649732;-76,5293628;0
CALI;COSMOCENTRO;CALLE 5 No. 50-103 LOCAL 1/6;2;6440221;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;09:00 a.m a 1:00 p.m;Colombia;3,4150965;-76,5478027;0
CALI;HOLGUINES TRADE CENTER;CARRERA 100 No. 11-60 CENTRO COMERCIAL HOLGUINES T. C. LOCAL 170;2;6440223;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,37184;-76,53924;3
CALI;IMBANACO;CARRERA 39 Nº 5-36;2;6440224;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4243843;-76,5463257;0
CALI;JARDÍN PLAZA;CARRERA 98 NO 16-200 LOCAL 197-198-199-200;2;6440225;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;09:00 a.m a 1:00 p.m;NA;3,3692303;-76,5275187;0
CALI;Agencia LA FLORA;AVENIDA 6 NORTE NO 42 N-46;2;6440226;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;Colombia;3,4795007;-76,5254022;7
CALI;OESTE CALI;CALLE 7 OESTE No. 1ª- 59 LOCAL 3;2;6440235;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4358476;-76,5455461;1
CALI;PASOANCHO;AVENIDA PASOANCHO No 72 - 16.;2;6440227;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,3918038;-76,5386187;1
CALI;PLAZA CAICEDO;CALLE 12 No. 4-79 EDIF OTERO;2;6440232;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4516878;-76,5319288;0
CALI;Agencia SAN FERNANDO;CARRERA 26 A No. 4-40 BARRIO SAN FERNANDO;2;6440240;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4297926;-76,5424377;0
CALI;SANTA MONICA;AVENIDA 6A No. 25AN-31;2;6440233;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4673343;-76,5297594;0
CALI;SEXTA AVENIDA;AVENIDA 6 NORTE No. 17-03;2;6440234;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;760045;3,460522;-76,531245;6
CALI;Agencia SUPEROUTLET DE LA 80;CARRERA 80 NO 13A- 261LOCAL 112;2;6440029;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;Colombia;3,3874284;-76,5360805;0
CALI;UNICENTRO CALI;CARRERA 100 No. 5-169 Local 215 CENTRO COMERCIAL UNICENTRO;2;6440230;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;09:00 a.m a 1:00 p.m;NA;3,3737606;-76,5390353;3
CALI;VALLE DE LILI;CARRERA 98B Nro. 25-130 Locales 21A, 22 y 23.;2;6440239;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;Valle del Cauca;3,3688211;-76,5234657;0
CALOTO;EXTENSIÓN OFICINA CALOTO;CARRERA 4 No. 12-03/ 21 ALCALDÍA MUNICIPAL CALOTO;2;8258900;NA;NA;NA;NA;Martes a sábado 8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,0329368;-76,4083781;1
CARTAGENA;BOCAGRANDE;EDIFICIO MONTELIBANO CARRERA .3 No. 8-06 P1/2;5;6517424;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,35726;-75,4901017;0
CARTAGENA;CARTAGENA;CALLE 32 No. 4-65 PLAZA LA ADUANA;5;6517426;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4221584;-75,550321;5
CARTAGENA;LA MATUNA;AVENIDA VENEZUELA No. 9-79;5;6517427;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4249446;-75,5468742;5
CARTAGENA;LA PLAZUELA;CALLE 71 No. 29-236 CENTRO COMERCIAL CHOPPIN C.;5;6517428;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4458964;-75,516701;1
CARTAGENA;PARQUE CENTENARIO;AVENIDA DANIEL LEMETRE No. 8A-65;5;6517422;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4229577;-75,5482015;5
CARTAGENA;SUPEREJECUTIVOS;AVENIDA PEDRO DE HEREDIA CENTRO COMERCIAL LOS EJECUTIVOS LOCAL 66;5;56517423;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,399185;-75,493824;0
CARTAGENA;MANGA;CARRERA 20 N 24-156 LOCAL 1,2,3 EDIFICIO LUNA MAR;5;6517429;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4132143;-75,5398413;0
CARTAGENA;AVENIDA SAN MARTIN;CARRERA 2 N. 11 - 41;5;6517425;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4085672;-75,5509179;0
CARTAGENA;BANCA PERSONAL CARTAGENA;CARRERA 2 N. 11 - 41;5;6517430;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,4085672;-75,5509179;0
CARTAGO;CARTAGO;CALLE 12 No. 3-66 INT 124;2;2110240;2110241;2110242;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;9:00 a.m a 1:00 p.m;NA;4,7472212;-75,9116289;1
CAUCASIA;CAUCASIA;CALLE 21 No. 16-80;4;8393041;8393040;8393042;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,9877832;-75,1917898;0
CHÍA;CENTRO CHIA;AVENIDA PRADILLA 900 ESTE CENTRO COMERCIAL LOCAL 1132;1;8621375;8620696;8621389;8621388;8621386;9:00 a.m a 4:00 p.m;NA;NA;NA;4,8638868;-74,0436167;0
CHÍA;CHÍA;CALLE 12 No. 10-26;1;3808161;NA;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,8615273;-74,0598775;1
CHINU;CHINU;CARRERA 7A No. 16-12;4;7751015;7751666;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;9,105964;-75,401527;1
CHIQUINQUIRA;CHIQUINQUIRA;CALLE 17 No. 10 - 63;8;7264490;7264486;7264167;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,6172497;-73,8166457;0
CIMITARRA;CIMITARRA;CALLE 6 No. 4-40 EDIFICIO PALACIO MUNICIPAL;7;6260594;6260149;6260294;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,315209;-73,9489059;0
COTA;AGENCIA SCHLUMBERGER;KM 1,5 VIA SIBERIA COTA PARQUE EMPRESARIA POTRERO CHICO;1;3822640;NA;NA;NA;NA;9:00am - 4:00pm;NA;NA;NA;4,6519143;-74,0828724;0
COTA;COTA;CARRERA 4 No. 11 - 98;1;5528784;NA;NA;NA;NA;9:00am - 4:00pm;NA;NA;NA;4,8090536;-74,1013516;0
CÚCUTA;AVENIDA CERO;AVENIDA CERO No. 12 - 26;7;5748962;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;9:00 a.m a 1:00 p.m;NA;7,8856299;-72,4981756;10
CÚCUTA;AVENIDA GRAN COLOMBIA;AVENIDA GRAN COLOMBIA 08-72;7;5748964;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,8927965;-72,4923001;0
CÚCUTA;AVENIDA SEXTA;CALLE 10 No. 6-02 CENTRO;7;5748961;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;9:00 a.m a 1:00 p.m;NA;7,8866967;-72,5049828;0
CÚCUTA;CENABASTOS;AVE, LIBERTADORES No. 19-24;7;5748963;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,9178136;-72,4930308;1
CÚCUTA;CUCUTA;CALLE 11 No. 4-26 PISO 2 CENTRO COMERCIAL PLAZA;7;5748960;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,8878237;-72,4966979;10
CURUMANÍ;CURUMANI;CALLE 8 No. 16-19;5;5750156;5750157;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;9,2006539;-73,5435055;1
DUITAMA;DUITAMA;CARRERA 15 No. 15-75 LOCAL 101;8;7610278;7600127;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;9:00 a.m a 1:00 p.m;150461;5,828284;-73,033875;0
EL BANCO;EL BANCO;CALLE 7A No. 2A- 29;5;4291154;4291149;4292690;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;8,9921292;-73,970661;0
ENVIGADO;AVENIDA LAS VEGAS;CARRERA 48 NO. 32B SUR – 30 LOCAL 101 EDIF. NOVA;4;5400527;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,1767358;-75,5900013;0
ENVIGADO;ENVIGADO;CARRERA 42 No. 36 SUR-38;4;5402681;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,1706617;-75,5867522;4
ESPINAL;ESPINAL;CARRERA 5 No. 8-80;8;2487143;2487199;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,1520683;-74,8844195;0
FACATATIVA;FACATATIVA;CARRERA 2 No. 7-165;1;8425130;8422856;8427349;8423731;NA;9:00 a.m a 4:00 p.m;5:30 p.m a 7:00 p.m;10:00 a.m a 2:00 p.m;NA;4,811176;-74,356476;0
FLORENCIA;CAMARA DE COMERCIO;CL 17 No 8-72 BARRIO SIETE DE AGOSTO;8;4349053;4356906;4341767;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;1,6138731;-75,6121984;0
FLORENCIA;FLORENCIA;CALLE 14 No. 11-53;8;4358244;4358439;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;1,6145788;-75,6131157;0
FLORIDABLANCA;CAÑAVERAL;CARRERA 25 NO. 29-87 LOCAL 14/16;7;6855020;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,0703111;-73,107457;1
FLORIDABLANCA;PARQUE NATURA;ECOPARQUE EMPRESARIAL NATURA LOCAL 15 KILOMETRO 2176 ANILLO VIAL FLORIDABLANCA GIRÓN;7;6855015;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,0616375;-73,1156032;0
FONSECA;FONSECA;CALLE 13 No. 15-57;5;7756248;7765343;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,8895407;-72,8486589;1
FUNDACION;FUNDACION;CALLE 6 Nº 7A - 64;5;4140426;4141499;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4516467;-76,5319854;0
FUSAGASUGA;FUSAGASUGA;CALLE 7 No. 6-55 PARQUE PRINCIPAL;1;8671715;8672592;8672368;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,3433887;-74,3620244;1
FUNZA;FUNZA;CALLE 13 No. 15-97;1;8266081;8266379;NA;NA;NA;9:00 a.m a 4:00 p.m;NA;NA;NA;4,7176228;-74,2134135;0
GARZÓN;GARZON;CARRERA 10 Nº 7-26;8;8333700;8333604;8332829;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;2,1972798;-75,6280143;0
GIRARDOT;GIRARDOT;CARRERA 10 CALLE 17 ESQUINA;1;8332121;8334223;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;"5:30 p.m a 8:00 p.m
Fin de mes 5:00 p.m a 7:00 p.m";9:00 a.m a 1:00 p.m;NA;4,2957857;-74,8064195;0
GRANADA;GRANADA;CARRERA 14 No. 15-20 - GRANADA - META;8;6580253;6586470;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,5409746;-73,7072913;0
IBAGUE;AMBALA;CALLE 11 Nº 4-44;8;2739813;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,444676;-75,242438;2
IBAGUE;IBAGUE;CALLE 13 No. 2-38;8;2739815;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;9:00 a.m a 1:00 p.m;NA;4,442469;-75,2402796;2
IBAGUE;PARQUE MURILLO;CALLE 11 No. 3A-08;8;2739412;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;9:00 a.m a 1:00 p.m;NA;4,4446387;-75,2412891;2
IBAGUE;SAN SIMON;CARRERA 5 No. 32-40;8;2739411;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,4388783;-75,2195042;0
IPIALES;IPIALES;CARRERA 7 No. 14-60;2;7732887;7734992;7734997;7733620;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;0,8254016;-77,6402304;1
ITAGUÍ;Agencia CAPRICENTRO;CALLE 72 No. 42-33;4;5402535;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;4:00 p.m a 6:00 p.m (Recaudo Impuestos);NA;NA;6,1788035;-75,5929122;0
ITAGUÍ;CENTRAL DE ABASTOS;CALLE 83A No. 47-80;4;5402538;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,4516467;-76,5319854;0
ITAGUÍ;ITAGUI;CALLE 50 No. 50-81;4;5402685;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,1724856;-75,6099313;1
ITAGUÍ;CENTRO COMERCIAL PLATINO;CARRERA 52D No. 76 - 67 Local 1161;4;5400520;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,1873428;-75,5974727;0
JAMUNDÍ;JAMUNDÍ;CARRERA 10 No. 9 - 02;2;6440242;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;3,2606873;-76,5414494;1
LA CEJA;LA CEJA;CALLE 20 No. 20-44;4;5402688;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;6,031041;-75,43262;1
LA LOMA;AGENCIA LA LOMA;CORREGIMIENTO LA LOMA DE CALENTURAS - MUNICIPIO EL PASO CARRERA 11 No. 10 - 47;5;5533427;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;9,659009;-73,745973;0
LA DORADA;LA DORADA;CARRERA 2 No. 13-31;6;8572652;8572287;8578090;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,45288;-74,662391;0
LA UNIÓN;EXTENSIÓN OFICINA LA UNIÓN;CARRERA 15 Nro. 22-28 BARRIO SAN PEDRO - LA UNIÓN VALLE.;2;2023186;2023198;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;760044;3,4443193;-76,5204275;0
LETICIA;LETICIA;CALLE 7 No. 10-12;8;5928120;5924975;5924977;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;-4,2165728;-69,9416208;0
LORICA;LORICA;CARRERA . 17 No. 1BIS-05 PLA- CONCORDIA;4;7735411;7736444;7737028;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;9,2376398;-75,8136245;4
MAGANGUE;MAGANGUE;CARRERA 2 No. 11-39;5;6875613;6877413;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;132512;9,2301658;-74,7433667;0
MAICAO;MAICAO;CARRERA 9 No. 13-19 LOCAL 1/2/3/4;5;7261200;7267285;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;11,3789335;-72,2485171;0
MANIZALES;BANCA PERSONAL MANIZALES;EDIF. MÉDICO AV. SANTANDER CARRERA 23 CALLE 66 PISO 14 UNIDAD T-1401;6;8982346;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,0613672;-75,4916808;6
MANIZALES;CABLE PLAZA;CARRERA 23 No. 64B-33 LOCAL 9 -10;6;8982344;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;9:00 a.m a 1:00 p.m;NA;5,0566192;-75,4861754;0
MANIZALES;MANIZALES;CALLE 22 No. 20-52;6;8982341;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,0686158;-75,5178524;0
MANIZALES;MANIZALES CENTRO;CARRERA 22 No. 21-05;6;8982340;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,0677596;-75,5182381;0
MANIZALES;ROSALES;CARRERA 23 No. 54-44;6;8982343;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,0621602;-75,4942783;6
MANIZALES;SANCANCIO;CARRERA 27 A 66-30 LOCAL 811-12 C.SAN CANCIO;6;8982342;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,0535426;-75,4897733;0
