NOMBRE DEL ATM;lat;lon
Centro Empresarial 127;4,7099372;-74,0616961
Centro Empresarial De La 72;4,6969933;-74,1060771
Centro Empresarial García Rovira I;7,113848;-73,1288409
Centro Empresarial García Rovira II;7,113848;-73,1288409
Centro Financiero;6,2060131;-75,5710632
Centro Girardot;4,2983037;-74,8080353
Centro Hipotecario;4,6814717;-74,0495414
Centro Internal I;4,5719903;-74,0978013
Centro Internal II;4,5719903;-74,0978013
Centro Mayor;4,5924413;-74,1255947
Centro Social De Oficiales;4,7313862;-74,0686007
Centro Suba 1;4,720582;-74,039726
Centro Suba 2;4,720582;-74,039726
Centro Suba 3;4,720582;-74,039726
Centro Suba 4;4,720582;-74,039726
Cerete;8,888785;-75,789633
Chapinero 1;4,6497872;-74,0635156
Chapinero 2;4,6497872;-74,0635156
Chía;4,8615997;-74,0598477
Chico Reservado;4,6776705;-74,0459086
Chinchiná;5,0415855;-75,5132859
Chinu;9,1047323;-75,3987461
Chipichape;3,4516467;-76,5319854
Chiquinquirá;5,6141404;-73,8181637
Chiquinquirá II;5,6172497;-73,8166457
Ciénaga De Oro;8,8753316;-75,6208582
Cimitarra 1;6,313375;-73,949347
Cimitarra 2;6,313375;-73,949347
Ciudad Kennedy I;4,6198929;-74,1676329
Ciudad Kennedy II;4,6198929;-74,1676329
Ciudad Montes;4,6011125;-74,109652
Ciudad Salitre 1;4,6852552;-74,0841623
Ciudad Salitre 2;4,6852552;-74,0841623
Clínica Cafam;4,6386615;-74,0679971
Clínica Cafam Floresta;4,6865188;-74,0739124
Clínica Colsanitas Colombia;4,6571749;-74,0698207
Clínica Coopsanar;4,6312847;-74,0876608
Clínica Medilaser;2,9309168;-75,2877028
Clínica Medilaser;5,5146331;-73,3568095
Clínica Reina Catalina;11,0014348;-74,816362
Clínica Reina Sofía;4,7065145;-74,0516159
Club Campestre;6,1855068;-75,5709557
Club Campestre Cali;3,3765987;-76,5428009
Codabas;4,757295;-74,0256205
Colgate;3,4685176;-76,5112259
Colina Campestre 1;4,6282915;-74,1080179
Colina Campestre 2;4,6282915;-74,1080179
